Ticker,Name,GR_name,address,latitude,longitude,Price,Revenue T12M,ISIN,ICB Industry Name,ICB Sector Name,Registered Country Location,Total Water Withdrawal,Tot Wtr Dschgd:Y,Wtr Intens/Sls:Y,Wste Per Sls:Y,Engy Intens/Sls:Y,Energy Intensity per Assets,Wste Sent to Ldflls:Y,Waste Generated per Assets,GHG Scope 3:Y,GHG Scope 2:Y,GHG Scope 1:Y,Tot Wtr Use:Y,Waste Recycl:Y,Total Waste:Y,Energy Consump:Y,Wste Sent to Ldflls:Y
CI UN Equity,Cigna Corp,,"Broomfield, Colorado",39.9203827,-105.0691464,131.86,37818999808,US1255091092,Health Care,Health Care Equipment & Services,US,,,,,6.558199883,,,,22.27000046,78.71700287,109.2890015,,,,228.973999,
V UN Equity,Visa Inc,Verizon Communications,"Broomfield, Colorado",39.9203827,-105.0691464,77.58,14063000064,US92826C8394,Financials,Financial Services,US,,,,,,,,,,,,,,,141.5169983,
URI UN Equity,United Rentals Inc,,"Buffalo, New York",42.8971799,-78.85332177,57.95,5817000064,US9113631090,Industrials,Support Services,US,679.6030273,,136.2398071,4.156700134,195.196106,91.49063743,5.543000221,1.948305756,8.18500042,39.13899994,11.32699966,774.5230103,18.0359993,23.63100052,1109.689941,5.543000221
ENDP UW Equity,Endo International PLC,,"Burbank, California",34.1808,-118.308966,29.07,3268718016,IE00BJ3V9050,Health Care,Pharmaceuticals & Biotechnology,IE,,,,,,,,,,,19111.80078,,,,,
SE UN Equity,Spectra Energy Corp,Skyworks,"Burlington, North Carolina",36.0956918,-79.4377991,29.7,5234000128,US8475601097,Oil & Gas,"Oil Equipment, Services & Distribution",US,,,7952.100098,8.199399948,,,,1.423642621,,911,,46941.19922,26.88500023,48.40100098,,
JBHT UW Equity,JB Hunt Transport Services Inc,,"Cambridge, Massachusetts",42.3750997,-71.1056157,82.71,6187645952,US4456581077,Industrials,Industrial Transportation,US,,,,,,,,,,,84.70200348,,,,,
MRK UN Equity,Merck & Co Inc,,"Cambridge, Massachusetts",42.3750997,-71.1056157,55.42,39498000384,US58933Y1055,Health Care,Pharmaceuticals & Biotechnology,US,27256.19922,,993.1071777,2.05979991,149.460907,64.30653667,,0.886244868,125.5039978,,0.558000028,46941.19922,22.61800003,87,6312.779785,
FDX UN Equity,FedEx Corp,,"Camden, New Jersey",39.93935085,-75.13303932,161.28,49500000256,US31428X1063,Industrials,Industrial Transportation,US,,,,4.481999874,1222.268433,1564.657821,63.31000137,,2074.330078,970.9810181,385.1159973,,140.9199982,204.2299957,58000.30078,63.31000137
TEL UN Equity,TE Connectivity Ltd,,"Carthage, Missouri",37.176447,-94.3102228,60.85,12016999936,CH0102993182,Industrials,Electronic & Electrical Equipment,CH,,3032.253418,319.338501,7.863900185,118.9735031,,,,,,0.50999999,3823.440186,77.64700317,94.15499878,1424.469849,
HOLX UW Equity,Hologic Inc,,"Cayce, South Carolina",33.938553,-81.07166836,35.25,2747400064,US4364401012,Health Care,Health Care Equipment & Services,US,,,,,,,,,,,,,,,,
CBS UN Equity,CBS Corp,,"Cedar Rapids, Iowa",41.9758872,-91.6704053,53.58,13886000128,US1248572026,Consumer Services,Media,US,,,,,,,,,,,43.93600082,,,,,
AZO UN Equity,AutoZone Inc,,"Chandler, Arizona",33.3067132,-111.8408489,785.13,10426659840,US0533321024,Consumer Services,General Retailers,US,,,,,,,,,,,97.34899902,,,,,
CLX UN Equity,Clorox Co/The,,"Charlotte, North Carolina",35.2270869,-80.8431268,128.66,5692999808,US1890541097,Consumer Goods,Household Goods & Home Construction,US,,,573.9481201,1.749600053,184.9837036,,9.152000427,,132,248,8.963000298,3164.75,,9.152000427,1020,9.152000427
HST UN Equity,Host Hotels & Resorts Inc,,"Charlotte, North Carolina",35.2270869,-80.8431268,15.29,5386999936,US44107P1049,Financials,Real Estate Investment Trusts,US,,,2608.90918,,305.9230957,134.5639201,,,,425.2130127,,13968.10059,,,1637.911987,
TMO UN Equity,Thermo Fisher Scientific Inc,,"Charlotte, North Carolina",35.2270869,-80.8431268,142.05,16965399808,US8835561023,Health Care,Health Care Equipment & Services,US,,,49.87149811,,20.82929993,,,,,,137555,623.8870239,9,,260.572998,
TRIP UW Equity,TripAdvisor Inc,TJX Companies,"Chattanooga, Tennessee",35.04563,-85.30968,63.35,1492000000,US8969452015,Consumer Services,Travel & Leisure,US,,,,,,,,,,,,,,,,
LUV UN Equity,Southwest Airlines Co,,"Chesapeake, Virginia",36.8190369,-76.2749399,43.65,19820000256,US8447411088,Consumer Services,Travel & Leisure,US,,,16.88809967,,3757.822998,3544.810469,0.514999986,,,51.22800064,,314.20401,0.532400012,,69914.29688,0.514999986
BAC UN Equity,Bank of America Corp,Bank of America Corp.,"Cheshire, Connecticut",41.4989861,-72.900658,12.85,94078001152,US0605051046,Financials,Banks,US,,,103.1477966,1.208500028,30.78700066,,44.28900146,,4113.669922,1224,,9817.709961,70.73999786,115.0289993,2930.340088,44.28900146
AFL UN Equity,Aflac Inc,,"Chesterbrook, Pennsylvania",40.07264,-75.45624788,63,20872000000,US0010551028,Financials,Life Insurance,US,,,,,,,,,,26.43099976,,,,,,
ALL UN Equity,Allstate Corp/The,,"Chicago, Illinois",41.86898915,-87.64856246,66.28,35653000192,US0200021014,Financials,Nonlife Insurance,US,,,8.344099998,0.033199999,13.52429962,,,,32.06499863,117.0189972,30,277.9840088,3.090199947,1.041000009,466.6820068,
CMCSA UW Equity,Comcast Corp,,"Chicago, Illinois",41.86898915,-87.64856246,61.4,74510000128,US20030N1019,Consumer Services,Media,US,,,,,,,,,,,,,,,,
DE UN Equity,Deere & Co,,"Chicago, Illinois",41.86898915,-87.64856246,76.18,28004299776,US2441991054,Industrials,Industrial Engineering,US,,,,,,,,,,1066.579956,,,,,,
LEN UN Equity,Lennar Corp,,"Chicago, Illinois",41.86898915,-87.64856246,47.64,9823532800,US5260571048,Consumer Goods,Household Goods & Home Construction,US,,,,,,,,,,,2.924999952,,,,,
LNC UN Equity,Lincoln National Corp,,"Chicago, Illinois",41.86898915,-87.64856246,37.37,13572999936,US5341871094,Financials,Life Insurance,US,,,7.553800106,0.433800012,6.866499901,0.367314319,3.232000113,0.023206527,33.4620018,15.56200027,,0.0559,1.230999947,5.880000114,93.06900024,3.232000113
MKC UN Equity,McCormick & Co Inc/MD,,"Chicago, Illinois",41.86898915,-87.64856246,99.42,4316100032,US5797802064,Consumer Goods,Food Producers,US,,,316.3270874,7.778600216,63.85369873,,13.03899956,,,74.92700195,1799.209961,1342.239014,19.96699905,33.00600052,270.9440002,13.03899956
MNST UW Equity,Monster Beverage Corp,,"Chicago, Illinois",41.86898915,-87.64856246,131.96,2722563968,US61174X1090,Consumer Goods,Beverages,US,,,,,,,,,,,12000,,,,,
VZ UN Equity,Verizon Communications Inc,Varian Medical Services,"Chicago, Illinois",41.86898915,-87.64856246,52,1.32E+11,US92343V1044,Telecommunications,Fixed Line Telecommunications,US,,,,,,,,,43.98699951,5452.009766,318,,,,,
WRK UN Equity,WestRock Co,Wells Fargo & Company,"Chicago, Illinois",41.86898915,-87.64856246,37,12547800064,US96145D1054,Industrials,General Industrials,US,,,,,,,,,,,,,,,1.00E-04,
CTAS UW Equity,Cintas Corp,,"Cincinnati, Ohio",39.1014537,-84.5124602,88.93,4776635904,US1729081059,Industrials,Support Services,US,,,,,,,,,,,,,,,,
DAL UN Equity,Delta Air Lines Inc,,"Cincinnati, Ohio",39.1014537,-84.5124602,45.8,40704001024,US2473617023,Consumer Services,Travel & Leisure,US,,417.9504089,19.63030052,0.0832,3446.550293,2575.8664,1.404999971,0.062216461,4445.23291,336.7869873,,792.3197021,1.085000038,3.359999895,139109.6719,1.404999971
FITB UW Equity,Fifth Third Bancorp,,"Cincinnati, Ohio",39.1014537,-84.5124602,16.13,7032000128,US3167731005,Financials,Banks,US,,,,,,,,,,247.4259949,,,,,,
MOS UN Equity,Mosaic Co/The,,"Cincinnati, Ohio",39.1014537,-84.5124602,24.75,8895300096,US61945C1036,Basic Materials,Chemicals,US,,,130002.875,27217.91602,3025.232422,,40.13240051,,2233.97998,1819.72998,,1177280,15.00570011,246480,27395.90039,40.13240051
ORLY UW Equity,O'Reilly Automotive Inc,,"Cincinnati, Ohio",39.1014537,-84.5124602,269.33,7966673920,US67103H1077,Consumer Services,General Retailers,US,,,,,,,,,,,2100,,,,,
COL UN Equity,Rockwell Collins Inc,,"Cleveland, Ohio",41.5051613,-81.6934446,91.69,5186999808,US7743411016,Industrials,Aerospace & Defense,US,,,,,,,,,,119.4670029,38.18180084,,,,,
SPG UN Equity,Simon Property Group Inc,,"Cleveland, Ohio",41.5051613,-81.6934446,206.79,5266103040,US8288061091,Financials,Real Estate Investment Trusts,US,,,,,515.9727783,,,,702.2730103,480.1719971,6700,,630.2020264,780.559021,1777.680054,149.7189941
WFC UN Equity,Wells Fargo & Co,The Walt Disney Company,"Cleveland, Ohio",41.5051613,-81.6934446,46.93,90033000448,US9497461015,Financials,Banks,US,,,150.7171021,1.273300052,32.69490051,,38.71099854,,147.3280029,1263.180054,97.125,10544.7998,59.4054985,108.538002,2689.280029,49.13180161
BLK UN Equity,BlackRock Inc,,"Columbus, Georgia",32.460976,-84.987709,328.37,11401000192,US09247X1019,Financials,Financial Services,US,,,,,,,,,,,,,,,,
XOM UN Equity,Exxon Mobil Corp,,"Columbus, Georgia",32.460976,-84.987709,82.37,2.37E+11,US30231G1022,Oil & Gas,Oil & Gas Producers,US,,,740.2067261,,1218.445923,1271.682122,,,,8000,,270000,,,444444,
PEP UN Equity,PepsiCo Inc,,"Columbus, Indiana",39.2014405,-85.9213796,103.6,63056000000,US7134481081,Consumer Goods,Beverages,US,,,1438.147705,21.59469986,311.1393127,,100.8000031,,4363,1924,220.2050018,95900,1336,1440,20747.69922,100.8000031
CTSH UW Equity,Cognizant Technology Solutions Corp,,"Columbus, Ohio",39.9622601,-83.0007065,59.99,12416000000,US1924461023,Technology,Software & Computer Services,US,1589.233041,,204.4093018,0.127800003,26.83699989,23.99334375,,0.114283823,134.029007,188.2550049,280,2097.787598,,1.31190002,275.4195862,
MSFT UW Equity,Microsoft Corp,,"Columbus, Ohio",39.9622601,-83.0007065,54.46,88084000768,US5949181045,Technology,Software & Computer Services,US,,,,0.278400004,41.11849976,,2.252000093,,8903.780273,1521.369995,136000,,17.2310009,24.17499924,3570.439941,2.252000093
WYN UN Equity,Wyndham Worldwide Corp,,"Columbus, Ohio",39.9622601,-83.0007065,74.85,5535000064,US98310W1080,Consumer Services,Travel & Leisure,US,,,1813.054443,,202.9842987,110.7511066,,,9.26099968,312.7460022,1547.357056,9574.740234,,,1071.959961,
COST UW Equity,Costco Wholesale Corp,,"Cool Valley, Missouri",38.7278287,-90.310114,152.03,1.17E+11,US22160K1051,Consumer Services,General Retailers,US,,,,,,,,,,1157.671021,,,,,,
NUE UN Equity,Nucor Corp,,"Corning, New York",42.1428521,-77.0546903,46.56,16439275776,US6703461052,Basic Materials,Industrial Metals & Mining,US,,,2571.013184,,,,,,,,266.6239929,28770.40039,0.600000024,,,
UDR UN Equity,UDR Inc,,"Corona, California",33.8752945,-117.5664449,37.7,894637984,US9026531049,Financials,Real Estate Investment Trusts,US,,,,,,,,,,,,,,,,
CPB UN Equity,Campbell Soup Co,,"Creve Coeur, Missouri",38.6608855,-90.4226181,63.86,7996999936,US1344291091,Consumer Goods,Food Producers,US,,16529,2543.44043,33.78279877,304.5093994,,38.7820015,,10.31400013,317.2080078,1570,21029.16602,240.5339966,279.3160095,2517.684082,38.7820015
AVY UN Equity,Avery Dennison Corp,,"Cupertino, California",37.3230107,-122.0322519,71.57,5966899968,US0536111091,Basic Materials,Chemicals,US,,,17.34230042,18.41930008,202.2021027,,100.3000031,,,322.1000061,43.20700073,109.7819977,72.24289703,116.5999985,1280,100.3000031
AMG UN Equity,Affiliated Managers Group Inc,,"Dallas, Texas",32.9862442,-96.75109557,156,2484500032,US0082521081,Financials,Financial Services,US,,,,,,,,,,,10855.55664,,,,,
BAX UN Equity,Baxter International Inc,Baxter International,"Dallas, Texas",32.9862442,-96.75109557,41.73,12747000064,US0718131099,Health Care,Health Care Equipment & Services,US,,4243,1474.018066,7.130300045,260.5710144,,16.81459999,,4269,480,2.279999971,15800,51.88999939,76.43000031,2793.060059,16.81459999
HSIC UW Equity,Henry Schein Inc,,"Dallas, Texas",32.9862442,-96.75109557,168.6,10629718784,US8064071025,Health Care,Health Care Equipment & Services,US,,,,,,,,,,,,,,,,
NEM UN Equity,Newmont Mining Corp,,"Dallas, Texas",32.9862442,-96.75109557,27.96,7728999936,US6516391066,Basic Materials,Mining,US,503030,374155,84642.77344,61597.35938,2210.285889,678.3933278,6.900000095,18905.80573,,1700,989.9182129,654204,45.77000046,476086,17083.30078,6.900000095
SNDK UW Equity,SanDisk Corp,Rockwell Collins,"Dallas, Texas",32.9862442,-96.75109557,76.32,5564872064,US80004C1018,Technology,Technology Hardware & Equipment,US,,,,,,,,,,,,,,,,
VTR UN Equity,Ventas Inc,,"Danbury, Connecticut",41.394817,-73.4540111,62.38,3444225984,US92276F1003,Financials,Real Estate Investment Trusts,US,,,,,,,,,,,,,,,,
STT UN Equity,State Street Corp,Spectra Energy,"Dearborn, Michigan",42.3222599,-83.1763145,56.18,10776000000,US8574771031,Financials,Financial Services,US,,,52.01910019,0.496399999,29.33810043,1.141548063,1.358999968,0.019316429,25.32500076,108.8769989,,554.8359985,3.16899991,5.295000076,312.9200134,1.358999968
ADM UN Equity,Archer-Daniels-Midland Co,,"Decatur, Illinois",39.84,-88.9548,35.72,67702001664,US0394831020,Consumer Goods,Food Producers,US,,,,,,,,,,,7100,,,,,
BK UN Equity,Bank of New York Mellon Corp/The,,"Decatur, Illinois",39.84,-88.9548,35.67,15552999680,US0640581007,Financials,Financial Services,US,,,27.36750031,0.358700007,27.19709969,,1.661999941,,18.87400055,209.7220001,,439.1390076,3.566999912,5.755000114,436.4039917,1.661999941
CCE UN Equity,Coca-Cola Enterprises Inc,,"Deerfield, Illinois",42.1711365,-87.8445119,52.4,7011000064,US19122T1097,Consumer Goods,Beverages,US,,2700,1026.137451,3.287100077,242.1347961,,0.197400004,,434.7340088,79.11699677,377,8479.999023,27.0291996,27.16500092,2001.002075,0.197400004
CL UN Equity,Colgate-Palmolive Co,,"Deerfield, Illinois",42.1711365,-87.8445119,70.64,16034000128,US1941621039,Consumer Goods,Personal Goods,US,,3424.079834,503.7578125,8.195199966,165.0252991,,38.81999969,,510.519989,437.5599976,2.134000063,8775.459961,79.58000183,142.7599945,2874.73999,38.81999969
CPGX UN Equity,Columbia Pipeline Group Inc,,"Deerfield, Illinois",42.1711365,-87.8445119,25.21,1334900000,US1982801094,Oil & Gas,"Oil Equipment, Services & Distribution",US,,,,,,,,,,,915.7639771,,,,,
MDLZ UW Equity,Mondelez International Inc,,"Deerfield, Illinois",42.1711365,-87.8445119,41.52,29635999744,US6092071058,Consumer Goods,Food Producers,US,,,,,,,,,,1241.839966,,,,,,
HRB UN Equity,H&R Block Inc,,"Denver, Colorado",39.7391536,-104.9847034,24.76,3042046120,US0936711052,Consumer Services,General Retailers,US,,,,,,,,,,,194.6990051,,,,,
HAR UN Equity,Harman International Industries Inc,,"Denver, Colorado",39.7391536,-104.9847034,81.88,6545870976,US4130861093,Consumer Goods,Leisure Goods,US,,,42.44210052,1.80369997,20.70879936,,,,,47.1609993,4100,227.0010071,8.090000153,9.647000313,110.7608032,
